ACT Code	High School	State	Active
020048	HOONAH HIGH SCHOOL	AK	N
020049	JOHN APANGALOOK MEMORIAL HS	AK	N
020051	WILDWOOD CHRISTIAN ACADEMY	AK	Y
020053	HYDABURG HIGH SCHOOL	AK	N
020054	CHIGNIK BAY SCHOOL	AK	N
020055	JUNEAU-DOUGLAS HIGH SCHOOL	AK	N
020056	ALYESKA CENTRAL SCHOOL	AK	N
020057	WINGS CHRISTIAN ACADEMY	AK	N
020058	KAKE CITY HIGH SCHOOL	AK	N
020059	CHIGNIK LAGOON SCHOOL	AK	N
020060	KENAI CENTRAL HIGH SCHOOL	AK	N
020061	NIKISKI CHRISTIAN SCHOOL	AK	Y
020062	CHIGNIK LAKE SCHOOL	AK	N
020063	IVANHOFF BAY SCHOOL	AK	N
020064	KETCHIKAN CHRISTIAN ACADEMY	AK	N
020065	KETCHIKAN HIGH SCHOOL	AK	N
020066	KOKHANOK SCHOOL	AK	N
020068	THORNE BAY HIGH SCHOOL	AK	Y
020069	KIANA HIGH SCHOOL	AK	N
020070	KLAWOCK HIGH SCHOOL	AK	N
020071	MCQUEEN HIGH SCHOOL	AK	N
020072	KOBUK SCHOOL	AK	Y
020073	AKUTAN SCHOOL	AK	N
020074	YAKOV NETSVETOV SCHOOL	AK	N
020075	KODIAK HIGH SCHOOL	AK	N
020076	COLD BAY SCHOOL	AK	N
020077	FALSE PASS SCHOOL	AK	N
020079	KOTZEBUE HIGH SCHOOL	AK	N
020080	MCGRATH HIGH SCHOOL	AK	N
020081	LARSEN BAY HIGH SCHOOL	AK	N
020082	MCLAUGHLIN SCHOOL	AK	N
020083	METLAKATLA HIGH SCHOOL	AK	N
020084	LEVELOCK HIGH SCHOOL	AK	N
020085	MOUNT EDGECUMBE HIGH SCHOOL	AK	N
020086	MOUNTAIN VILLAGE HIGH SCHOOL	AK	N
020087	MANOKOTAK HIGH SCHOOL	AK	N
020088	BRISTOL BAY BOROUGH HS	AK	N
020089	CHIEF IVAN BLUNKA SCHOOL	AK	N
020091	BENNY BENSON SECONDARY SCHOOL	AK	N
020092	BETTLES SCHOOL	AK	Y
020093	CANTWELL SCHOOL	AK	N
020094	ANIAK HIGH SCHOOL	AK	N
020095	NENANA HIGH SCHOOL	AK	N
020096	NEWHALEN SCHOOL	AK	N
020097	NIKOLSKI SCHOOL	AK	Y
020098	NINILCHIK HIGH SCHOOL	AK	N
020099	NAPAAQTUGMIUT SCHOOL	AK	N
020100	NOME BELTZ HIGH SCHOOL	AK	N
020101	NONDALTON HIGH SCHOOL	AK	N
020103	NOORVIK HIGH SCHOOL	AK	N
020104	ANDREW K DEMOSKI SCHOOL	AK	N
020105	PALMER HIGH SCHOOL	AK	N
020106	OLD HARBOR SCHOOL	AK	N
020107	OUZINKIE SCHOOL	AK	N
020108	VICTORY HIGH SCHOOL	AK	Y
020109	DENA'INA SCHOOL	AK	N
020110	PETERSBURG HIGH SCHOOL	AK	N
020111	PORT LIONS SCHOOL	AK	N
020112	SAINT MARYS CATHOLIC HIGH SCH	AK	Y
020113	PERRYVILLE SCHOOL	AK	N
020114	MESHIK SCHOOL	AK	N
020116	NELSON LAGOON SCHOOL	AK	N
020117	SAND POINT SCHOOL	AK	N
020118	SELAWIK DAVIS-ROMOTH SCHOOL	AK	N
020119	PAULOFF HARBOR SCHOOL	AK	Y
020120	SUSAN B ENGLISH ELEMENTARY HS	AK	N
020122	WALTER NORTHWAY SCHOOL	AK	N
020123	HOOPER BAY HIGH SCHOOL	AK	N
020124	GRACE BAPTIST ACADEMY	AK	Y
020125	SEWARD JR-SR HIGH SCHOOL	AK	N
020126	SHISHMAREF HIGH SCHOOL	AK	N
020127	SHUNGNAK SCHOOL	AK	N
020129	SHAKTOOLIK HIGH SCHOOL	AK	N
020130	SITKA HIGH SCHOOL	AK	N
020131	SOLDOTNA HIGH SCHOOL	AK	N
020132	COOK INLET ACADEMY	AK	N
020134	SHELDON POINT HIGH SCHOOL	AK	N
020135	SKAGWAY HIGH SCHOOL	AK	N
020136	SUSITNA VALLEY HIGH SCHOOL	AK	N
020137	MAUDREY J SOMMER SCHOOL	AK	N
020138	TOK SCHOOL	AK	N
020139	PAUL T ALBERT MEMORIAL HS	AK	N
020140	UNALASKA HIGH SCHOOL	AK	N
020141	BARTLETT ELEMENTARY HS	AK	N
020142	COVENANT HIGH SCHOOL	AK	Y
020143	TOGIAK SCHOOL	AK	N
020144	PETERS CREEK CHRISTIAN SCHOOL	AK	Y
020146	WILLIAM SONNY NELSON SCHOOL	AK	N
020147	KOLIGANEK SCHOOL	AK	N
020148	ANIGUIIN HIGH SCHOOL	AK	N
020149	FAIRBANKS CHRISTIAN SCHOOL	AK	N
020150	VALDEZ HIGH SCHOOL	AK	N
020151	JAMES C ISABELL MEML HS	AK	N
020152	ALAK HIGH SCHOOL	AK	N
020153	ALCANTRA YOUTH SCH	AK	Y
020154	KINGS CENTER CHRISTIAN SCHOOLS	AK	Y
020155	WASILLA HIGH SCHOOL	AK	N
020156	WHITE MOUNTAIN SCHOOL	AK	N
020157	FRANK A DEGNAN HIGH SCHOOL	AK	N
020158	KOYUK-MALEMUTE HIGH SCHOOL	AK	N
020159	MCQUEEN SCHOOL NWASD	AK	Y
020160	WRANGELL HIGH SCHOOL	AK	N
020161	HUTCHISON CAREER CENTER	AK	N
020162	KEGGATMINT SCHOOL	AK	N
020163	DAVID-LOUIS MEMORIAL SCHOOL	AK	N
020164	JOHN FREDSON SCHOOL	AK	N
020166	KAVEOLOOK HIGH SCHOOL	AK	N
020167	KALTAG SCHOOL	AK	N
020168	DIOMEDE HIGH SCHOOL	AK	N
020169	PORTAGE CREEK SCHOOL	AK	Y
020170	YAKUTAT HIGH SCHOOL	AK	N
020171	TOP OF THE KUSKOKWIM	AK	N
020172	TAKOTNA COMMUNITY SCHOOL	AK	N
020173	TALKEETNA CHRISTIAN SCHOOL	AK	Y
020174	NORTH POLE CHRISTIAN SCHOOL	AK	N
020175	BIBLE BAPTIST CHURCH CHRSTN SC	AK	N
020176	CORRESPONDENCE STUDY SCHOOL	AK	N
020177	FAIRBANKS CHRISTIAN SCHOOL	AK	Y
020178	HOUSTON JR-SR HIGH SCHOOL	AK	N
020179	NETSVETOV HIGH SCHOOL	AK	N
020180	EAST PARK CHRISTIAN SCHOOL	AK	N
020181	NUNAMIUT SCHOOL	AK	N
020182	GRACE CHRISTIAN SCHOOL	AK	N
020183	SKWENTNA SCHOOL	AK	Y
020184	NIKOLAEVSK ELEM HIGH SCHOOL	AK	N
020185	VALLEY CHRISTIAN SCHOOL	AK	N
020186	COVENANT LIFE CTR EDUC MIN	AK	N
020187	NORTHERN LIGHTS SCHOOL	AK	Y
020188	RAMPART SCHOOL	AK	Y
020189	KOTLIK SCHOOLS	AK	N
020190	COLD BAY SCHOOL	AK	Y
020193	RAVEN CORRESPONDENCE SCHOOL	AK	N
020194	PORT ALEXANDER SCHOOL	AK	Y
020195	EUREKA CHRISTIAN ACADEMY	AK	Y
020196	BRUIN PARK BAPTIST ACADEMY	AK	Y
