<pre>
<B>Information is listed alphabetically by district.
Use the "Edit," "Find" function of your browser to search for a district.


SCHOOL DISTRICT/SCHOOL                 ENTITY NUMBER
  OLD YORK ELEMENTARY SCHOOL                    9746
  STONY BROOK ELEMENTARY SCHOOL                 9744

BRICK TOWNSHIP SCHOOL DISTRICT                123473
  BRICK MEMORIAL HIGH SCHOOL                    9415
  BRICK TOWNSHIP HIGH SCHOOL                    9403
  DRUM POINT ROAD ELEM SCHOOL                   9407
  EMMA HAVENS YOUNG ELEM SCHOOL                 9408
  HEBERTSVILLE ELEM SCHOOL                      9414
  LAKE RIVIERA MIDDLE SCHOOL                    9410
  LANES MILL ROAD ELEM SCHOOL                   9416
  MIDSTREAMS ELEMENTARY SCHOOL                  9418
  OSBORNVILLE ELEMENTARY SCHOOL                 9409
  VETERANS MEMORIAL ELEM SCHOOL                 9412
  VETERANS MEMORIAL MIDDLE SCH                  9413

BRIDGETON SCHOOL DISTRICT                     123378
  BRIDGETON HIGH SCHOOL                         9022
  BRIDGETON MIDDLE SCHOOL                       9027
  BUCKSHUTEM ROAD ELEM SCHOOL                   9029
  CHERRY STREET ELEM SCHOOL                     9028
  INDIAN AVE ELEMENTARY SCHOOL                  9025
  QUARTER MILE LANE ELEM SCHOOL                 9030
  WEST AVENUE ELEMENTARY SCHOOL                 9023

BRIDGEWATER-RARITAN SCH DIST                  123503
  ADAMSVILLE PRIMARY SCHOOL                     9504
  BRADLEY GARDENS PRIMARY SCHOOL                9503
  BRIDGEWATER-RARITAN HIGH SCH                  9497
  CRIM ROAD PRIMARY SCHOOL                      9502
  EISENHOWER INTERMEDIATE SCHOOL                9500
  HAMILTON PRIMARY SCHOOL                       9494
  HILLSIDE INTERMEDIATE SCHOOL                  9499
  KENNEDY PRIMARY SCHOOL                        9718
  VAN HOLTEN PRIMARY SCHOOL                     9501

BRIELLE SCHOOL DISTRICT                       123474
  BRIELLE ELEMENTARY SCHOOL                     9419

BRIGANTINE PUBLIC SCHOOLS                     123341
  BRIGANTINE NORTH MIDDLE SCHOOL                8927

BROOKLAWN SCHOOL DISTRICT                     123193
  ALICE COSTELLO ELEM SCHOOL                    8498

BUENA REGIONAL SCHOOL DISTRICT                123388
  BUENA REGIONAL HIGH SCHOOL                    9042
  CLEARY MIDDLE SCHOOL                          9082
  COLLINGS LAKE ELEM SCHOOL                     8800
  DONINI ELEMENTARY SCHOOL                      9060
  EDGARTON MEMORIAL ELEM SCHOOL                 9087
  MILANESI ELEMENTARY SCHOOL                    9043

BURLINGTON CITY SCHOOL DIST                   123173
  BURLINGTON CITY HIGH SCHOOL                   8456
  CAPT JAMES LAWRENCE ELEM SCH                  8454
  ELIAS BOUDINOT ELEM SCHOOL                    8448
  SAMUEL SMITH ELEM SCHOOL                      8455
  WILBUR WATTS INTERMEDIATE SCH                 8461

BURLINGTON CO INST OF TECH                    123236
  BURLINGTON-WEST HAMPTON INST T                8621

BURLINGTON CO SPECIAL SVC DIST                123231
  BURL COUNTY SPECIAL SVC SCH                   8635

BURLINGTON TOWNSHIP SCH DIST                  123171
  BURLINGTON TOWNSHIP HIGH SCH                  8457
  HOPKINS MIDDLE SCHOOL                         8449
  SPRINGSIDE ELEMENTARY SCHOOL                  8459
  YOUNG ELEMENTARY SCHOOL                       8452

BUTLER SCHOOL DISTRICT                        122805
  AARON DECKER ELEM SCHOOL                      7406
  BUTLER HIGH SCHOOL                            7402
  RICHARD BUTLER MIDDLE SCHOOL                  7404

BYRAM TOWNSHIP SCHOOL DISTRICT                123100
  BYRAM TWP CONSOL ELEM SCHOOL                  8222
  BYRAM TWP INTERMEDIATE SCHOOL                 8223

CALDWELL-WEST CALDWELL DIST                   122650
  GROVER CLEVELAND MIDDLE SCHOOL                6500
  JAMES CALDWELL HIGH SCHOOL                    6494
  JEFFERSON ELEMENTARY SCHOOL                   6505
  LINCOLN ELEMENTARY SCHOOL                     6499
  WASHINGTON ELEMENTARY SCHOOL                  6504
  WILSON ELEMENTARY SCHOOL                      6506

CALIFON SCHOOL DISTRICT                       123057
  CALIFON BOROUGH ELEM SCHOOL                   8137

CAMDEN CITY PUBLIC SCHOOLS                    123321
  BONSALL ELEMENTARY SCHOOL                     8854
  BROADWAY ELEMENTARY SCHOOL                    8833
  CAMDEN HIGH SCHOOL                            8834
  CATTO ELEMENTARY SCHOOL                       8866
  CHALLENGE SQUARE ACADEMY                      8835
  COOPERS POYNT ELEMENTARY SCH                  8827
  CRAMER ELEMENTARY SCHOOL                      8859
  DAVIS ELEMENTARY SCHOOL                       8860
  DUDLEY ELEMENTARY SCHOOL                      8861
  EAST CAMDEN MIDDLE SCHOOL                     8868
  FOREST HILL ELEMENTARY SCHOOL                 8836
  HATCH MIDDLE SCHOOL                           8837
  LANNING SQUARE ELEM SCHOOL                    8839
  MCGRAW ELEMENTARY SCHOOL                      8862
  MICKLE ELEMENTARY SCHOOL                      8849
  MOLINA ELEMENTARY SCHOOL                      8829
  MORGAN VILLAGE MIDDLE SCHOOL                  8855
  PARKSIDE ELEMENTARY SCHOOL                    8845
  POWELL ELEMENTARY SCHOOL                      8831
  PYNE POINT FAMILY SCHOOL                      8832
  RILETTA CREAM ELEMENTARY SCH                  8850
  SHARP ELEMENTARY SCHOOL                       8863
  SOUTH CAMDEN ALT SCHOOL                       8843
  SUMNER ELEMENTARY SCHOOL                      8853
  VETERANS MEMORIAL MIDDLE SCH                  8864
  WASHINGTON ELEMENTARY SCHOOL                  8870
  WHITTIER ELEMENTARY SCHOOL                    8844
  WIGGINS ELEMENTARY SCHOOL                     8842
  WILSON ELEMENTARY SCHOOL                      8851
  WOODROW WILSON HIGH SCHOOL                    8865
  YORKSHIP ELEMENTARY SCHOOL                    8856

CAMDEN COUNTY TECHNICAL SD                    123282
  CAMDEN CNTY TECH SCH-GLOUCHEST                8751
  CAMDEN CNTY TECHN SCH-PENNSAUK                8895

CAPE MAY CITY SCHOOL DISTRICT                 123343
  CAPE MAY CITY ELEMENTARY SCH                  8932

