<pre>
<B>Information is listed alphabetically by district.
Use the "Edit," "Find" function of your browser to search for a district.


SCHOOL DISTRICT/SCHOOL                 ENTITY NUMBER
  ROSENAUER ELEMENTARY SCHOOL                   9181
  SWITLIK ELEMENTARY SCHOOL                     9184

JAMESBURG PUBLIC SCHOOL DIST                  123531
  BRECKWEDEL MIDDLE SCHOOL                      9585
  KENNEDY ELEMENTARY SCHOOL                     9584

JEFFERSON TWP SCHOOL DISTRICT                 123072
  ARTHUR STANLICK ELEM SCHOOL                   8248
  BRIGGS ELEMENTARY SCHOOL                      8168
  CONSOLIDATED ELEMENTARY SCHOOL                8169
  COZY LAKE ELEMENTARY SCHOOL                   7474
  JEFFERSON TWP HIGH SCHOOL                     7478
  JEFFERSON TWP MIDDLE SCHOOL                   7475
  MILTON ELEMENTARY SCHOOL                      7479
  WHITE ROCK ELEMENTARY SCHOOL                  7476

JERSEY CITY SCHOOL DISTRICT                   122798
  ACADEMIC HIGH SCHOOL                          7308
  BRADFORD ELEMENTARY PS 16                     7326
  CONTI ELEMENTARY SCHOOL                       7312
  CONWELL ELEMENTARY SCHOOL                     7325
  DEFUCCIO ELEMENTARY SCHOOL                    7386
  DICKINSON HIGH SCHOOL                         7367
  FERRIS HIGH SCHOOL                            7319
  HENRY SNYDER HIGH SCHOOL                      7351
  JAMES F MURRAY ELEM SCHOOL                    7349
  JERSEY CITY MED CTR COMPLEX                   7344
  JERSEY CITY NUMBER 12 ELEM SCH                7342
  JERSEY CITY NUMBER 14 ELEM SCH                7336
  JERSEY CITY NUMBER 20 ELEM SCH                7360
  JERSEY CITY NUMBER 22 ELEM SCH                7347
  JERSEY CITY NUMBER 27 ELEM SCH                7393
  JERSEY CITY NUMBER 28 ELEM SCH                7387
  JERSEY CITY NUMBER 29 ELEM SCH                7364
  JERSEY CITY NUMBER 31 ELEM SCH                7375
  JERSEY CITY NUMBER 33 ELEM SCH                7329
  JERSEY CITY NUMBER 34 ELEM SCH                7356
  JERSEY CITY NUMBER 8 ELEM SCH                 7391
  JOSEPH H BRENSINGER SCHOOL                    7339
  JOTHAM W WAKEMAN SCHOOL 6                     7370
  KENNEDY SCHOOL 9                              7321
  LINCOLN HIGH SCHOOL                           7343
  MAHATMA K GANDHI SCHOOL                       7380
  MARTIN ELEMENTARY SCHOOL                      7366
  MARTIN LUTHER KING JR SCHOOL                  7378
  NEW JERSEY REGIONAL DAY SCHOOL                7345
  NICHOLAUS COPERNICUS SCHOOL                   7395
  NICHOLS ELEMENTARY SCHOOL                     7373
  NOLAN MIDDLE SCHOOL                           7358
  RAFAEL DE J CORDERO SCHOOL                    7309
  SULLIVAN ELEMENTARY SCHOOL                    7357
  WATTERS ELEMENTARY SCHOOL                     7332
  WHITNEY M YOUNG JR SCHOOL                     7361

KEANSBURG SCHOOL DISTRICT                     123005
  JOSEPH BOLGER MIDDLE SCHOOL                   8010
  JOSEPH C CARUSO ELEMENTARY                    8007
  KEANSBURG HIGH SCHOOL                         8008
  PORT MONMOUTH ROAD ELEM SCHOOL                8009

KEARNY SCHOOL DISTRICT                        122689
  FRANKLIN ELEMENTARY SCHOOL                    6659
  GARFIELD ELEMENTARY SCHOOL                    6651
  KEARNY HIGH SCHOOL                            6654
  LINCOLN ELEMENTARY SCHOOL                     6655
  ROOSEVELT ELEMENTARY SCHOOL                   6658
  SCHUYLER ELEMENTARY SCHOOL                    6660
  WASHINGTON ELEMENTARY SCHOOL                  6650

KENILWORTH SCHOOL DISTRICT                    122690
  WARREN G HARDING ELEM SCHOOL                  6662

KEYPORT SCHOOL DISTRICT                       123007
  CENTRAL ELEMENTARY SCHOOL                     8013
  KEYPORT HIGH SCHOOL                           8014

KINGSWAY REG HIGH SCHOOL DIST                 123291
  KINGSWAY REGIONAL HIGH SCHOOL                 8765

KINGWOOD TWP SCHOOL DISTRICT                  123524
  KINGWOOD TOWNSHIP ELEM SCHOOL                 9570

KINNELON BOROUGH SCHOOL DIST                  122808
  KIEL ELEMENTARY SCHOOL                        7408
  KINNELON HIGH SCHOOL                          7410
  MILLER MIDDLE SCHOOL                          7409
  STONYBROOK ELEMENTARY SCHOOL                  7403

KITTATINNY REG SCHOOL DISTRICT                123083
  KITTATINNY REG HIGH SCHOOL                    8191

KNOWLTON TOWNSHIP BOARD OF EDUCATION          123058
  KNOWLTON TOWNSHIP ELEM SCHOOL                 8139

LACEY TOWNSHIP SCHOOL DISTRICT                123478
  CEDAR CREEK ELEMENTARY SCHOOL                 9434
  FORKED RIVER ELEMENTARY SCHOOL                9420
  LACEY TOWNSHIP HIGH SCHOOL                    9433
  LACEY TOWNSHIP MIDDLE SCHOOL                  9432
  LANOKA HARBOR ELEM SCHOOL                     9431

LAFAYETTE TOWNSHIP SCHOOL DIST                123071
  LAFAYETTE TOWNSHIP ELEM SCHOOL                8167

LAKEHURST SCHOOL DISTRICT                     123477
  LAKEHURST ELEMENTARY SCHOOL                   9425

LAKELAND REG HIGH SCHOOL DIST                 122858
  LAKELAND REG HIGH SCHOOL                      7551

LAKEWOOD TWP SCHOOL DISTRICT                  123469
  CLARKE ELEMENTARY SCHOOL                      9386
  CLIFTON AVE ELEMENTARY SCHOOL                 9385
  LAKEWOOD HIGH SCHOOL                          9381
  LAKEWOOD MIDDLE SCHOOL                        9382
  OAK STREET ELEMENTARY SCHOOL                  9390
  SPRUCE ST ELEMENTARY SCHOOL                   9391

LAMBERTVILLE SCHOOL DISTRICT                  123434
  LAMBERTVILLE ELEMENTARY SCHOOL                9190

LAUREL SPRINGS SCHOOL DISTRICT                123178
  LAUREL SPRINGS ELEMENTARY SCH                 8471

LAVALLETTE SCHOOL DISTRICT                    123479
  LAVALLETTE ELEMENTARY SCHOOL                  9435

LAWNSIDE BOROUGH SCHOOL DISTRICT              123211
  LAWNSIDE PUBLIC ELEMENTARY SCH                8552

LAWRENCE TWP SCHOOL DISTRICT                  123390
  MYRON L POWELL ELEMENTARY SCH                 9044
  BENJAMIN FRANKLIN ELEM SCHOOL                 9350
  ELDRIDGE PARK ELEMENTARY SCH                  9353
  LAWRENCE INTERMEDIATE SCHOOL                  9349
  LAWRENCE MIDDLE SCHOOL                        9354
  LAWRENCE SENIOR HIGH SCHOOL                   9352
  LAWRENCEVILLE ELEMENTARY SCH                  9348
  SLACKWOOD ELEMENTARY SCHOOL                   9357

LEBANON BOROUGH SCHOOL DIST                   123533
  LEBANON BOROUGH SCHOOL                        9590

LEBANON TWP SCHOOL DISTRICT                   123056
  VALLEY VIEW ELEMENTARY SCHOOL                 8136
  WOODGLEN MIDDLE SCHOOL                        8135

LENAPE REG HIGH SCH DISTRICT                  123299
  CHEROKEE HIGH SCHOOL                          8588
  LENAPE HIGH SCHOOL                            8617
  SHAWNEE HIGH SCHOOL                           8622

LENAPE VALLEY REG H S DIST                    123098
  LENAPE VALLEY REG HIGH SCHOOL                 8220

LEONIA SCHOOL DISTRICT                        122891
  ANNA C SCOTT ELEMENTARY SCHOOL                7690
  LEONIA HIGH SCHOOL                            7687
  LEONIA MIDDLE SCHOOL                          7688

LINCOLN PARK BOARD OF EDUCATION               122692
  LINCOLN PARK ELEMENTARY SCHOOL                6668
  LINCOLN PARK MIDDLE SCHOOL                    6667

LINDEN SCHOOL DISTRICT                        122695
  DEERFIELD TERRACE ELEM SCHOOL                 6669
  HIGHLAND AVE ELEMENTARY SCHOOL                6670
  LINDEN HIGH SCHOOL                            6681
  LINDEN NUMBER 1 ELEM SCHOOL                   6682
  LINDEN NUMBER 2 ELEM SCHOOL                   6678
  LINDEN NUMBER 4 ELEM SCHOOL                   6671
  LINDEN NUMBER 5 ELEM SCHOOL                   6673
  LINDEN NUMBER 6 ELEM SCHOOL                   6676
  LINDEN NUMBER 8 ELEM SCHOOL                   6683
  MYLES J MCMANUS MIDDLE SCHOOL                 6684
  SOEHL MIDDLE SCHOOL                           6674

LINDENWOLD BOROUGH SCHOOL DISTRICT            123177
  LINDENWOLD ELEM SCHOOL FIVE                   8466
  LINDENWOLD ELEM SCHOOL FOUR                   8467
  LINDENWOLD ELEM SCHOOL ONE                    8468

LINWOOD CITY SCHOOL DISTRICT                  123356
  BELHAVEN AVE MIDDLE SCHOOL                    8962
  SEAVIEW ELEM SCHOOL                           8959

LITTLE EGG HARBOR TWP SCH DIST                123295
  GEORGE J MITCHELL ELEM SCHOOL                 8772
  LITTLE EGG HARBOR INTER SCHOOL                8773

LITTLE FALLS TWP SCHOOL DIST                  122823
  LITTLE FALLS #1 ELEM SCHOOL                   7449
  LITTLE FALLS #2 ELEM SCHOOL                   7450

LITTLE FERRY SCHOOL DISTRICT                  122921
  MEMORIAL MIDDLE SCHOOL                        7756
  WASHINGTON ELEMENTARY SCHOOL                  7755

LITTLE SILVER BOROUGH SCH DIST                123012
  MARKHAM PL ELEMENTARY SCHOOL                  8025
  POINT ROAD ELEMENTARY SCHOOL                  8026

LIVINGSTON SCHOOL DISTRICT                    122697
  BURNETT HILL ELEMENTARY SCHOOL                6692
  COLLINS ELEMENTARY SCHOOL                     6696
  HARRISON ELEMENTARY SCHOOL                    6686
  HERITAGE MIDDLE SCHOOL                        6688
  HILLSIDE ELEMENTARY SCHOOL                    6689
  LIVINGSTON SENIOR HIGH SCHOOL                 6695
  MOUNT PLEASANT ELEM SCHOOL                    6690
  MOUNT PLEASANT MIDDLE SCHOOL                  6691
  RIKER HILL ELEMENTARY SCHOOL                  6685

LODI SCHOOL DISTRICT                          122922
  COLUMBUS ELEMENTARY SCHOOL                    7758
  LODI HIGH SCHOOL                              7759
  LODI MIDDLE SCHOOL                            7760
  ROOSEVELT SPECIAL ED SCHOOL                   7761
  WASHINGTON ELEMENTARY SCHOOL                  7762
  WILSON ELEMENTARY SCHOOL                      7764

LONG BEACH ISLAND SCHOOL DIST                 123162
  ETHEL JACOBSEN ELEMENTARY SCH                 8415
  LONG BEACH ISLAND GRADE SCHOOL                8416

LONG BRANCH SCHOOL DISTRICT                   123015
  ANASTASIA ELEMENTARY SCHOOL                   8036
  CONROW ELEMENTARY SCHOOL                      8039
  ELBERON ELEMENTARY SCHOOL                     8029
  GARFIELD ELEMENTARY SCHOOL                    8037
  GREGORY ELEMENTARY SCHOOL                     8038
  LONG BRANCH HIGH SCHOOL                       8033
  LONG BRANCH MIDDLE SCHOOL                     8035
  WEST END ELEMENTARY SCHOOL                    8032

LONG HILL TOWNSHIP SCHOOL DIST                123133
  CENTRAL MIDDLE SCHOOL                         8368
  GILLETTE ELEMENTARY SCHOOL                    8305
  MILLINGTON ELEMENTARY SCHOOL                  8329

LOPATCONG TOWNSHIP SCHOOL DIST                123565
  LOPATCONG ELEMENTARY SCHOOL                   9714

LOWER ALLOWAYS CREEK SCH DIST                 123272
  LOWER ALLOWAYS CREEK ELEM SCH                 8730

LOWER CAMDEN CO REG HS DIST                   123157
  EDGEWOOD REG JR HIGH SCHOOL                   8405
  EDGEWOOD REGIONAL SR HIGH SCH                 8406
  N.J. REGIONAL DAY SCHOOL AT WINSLOW          202240
  OVERBROOK REG JR HIGH SCHOOL                  8469
  OVERBROOK REG SR HIGH SCHOOL                  8476

LOWER CAPE MAY REG SCHOOL DIST                123345
  LOWER CAPE MAY REG HIGH SCHOOL                8936
  TEITELMAN MIDDLE SCHOOL                       8937

LOWER TOWNSHIP ELEM SCH DIST                  123346
  CARL T MITNICK SCHOOL                         8934
  DOUGLASS VETERANS MEMORIAL SCH                9008
  MAUD ABRAMS ELEMENTARY SCHOOL                 8935
  SANDMAN CONSOLIDATED ELEM SCH                 8938

LUMBERTON TOWNSHIP BOARD OF EDUCATION         123214
  FLORENCE L WALTHER ELEM SCHOOL                8567
  LUMBERTON MIDDLE SCHOOL                       8568

LYNDHURST BOARD OF EDUCATION                  122739
  COLUMBUS ELEMENTARY SCHOOL                    6920
  FRANKLIN ELEMENTARY SCHOOL                    6925
  JEFFERSON ELEMENTARY SCHOOL                   6922
  LINCOLN ELEMENTARY SCHOOL                     6923
  LYNDHURST HIGH SCHOOL                         6921
  ROOSEVELT ELEMENTARY SCHOOL                   6927
  WASHINGTON ELEMENTARY SCHOOL                  6928

MADISON SCHOOL DISTRICT                       123137
  CENTRAL AVENUE ELEM SCHOOL                    8318
  KINGS ROAD ELEMENTARY SCHOOL                  8320
  MADISON HIGH SCHOOL                           8317
  MADISON JUNIOR HIGH SCHOOL                    8319
  TOREY J SABITINI ELEM SCHOOL                  8321

MAGNOLIA BOROUGH SCHOOL DISTRICT              123215
  MAGNOLIA ELEMENTARY SCHOOL                    8570

MAHWAH TWP SCHOOL DISTRICT                    122828
  BETSY ROSS ELEMENTARY SCHOOL                  7457
  COMMODORE PERRY ELEMENTARY SCH                7456
  GEORGE WASHINGTON ELEM SCHOOL                 7460
  JOYCE KILMER ELEMENTARY SCHOOL                7458
  MAHWAH HIGH SCHOOL                            7459
  RAMAPO RIDGE MIDDLE SCHOOL                    7462

MAINLAND REG HIGH SCHOOL DIST                 123357
  MAINLAND REG HIGH SCHOOL                      8963

MANALAPAN-ENGLISHTOWN SCH DIST                122991
  CLARK MILLS ELEMENTARY SCHOOL                 7946
  LAFAYETTE MILLS ELEM SCHOOL                   7942
  MANALAPAN-ENGLISHTOWN MID SCH                 7948
  MILFORD BROOK ELEM SCHOOL                     7947
  PINE BROOK ELEMENTARY SCHOOL                  7944
  TAYLOR MILLS ELEMENTARY SCHOOL                7945

MANASQUAN SCHOOL DISTRICT                     123480
  MANASQUAN ELEMENTARY SCHOOL                   9436
  MANASQUAN HIGH SCHOOL                         9437

MANCHESTER TWP SCHOOL DISTRICT                123495
  MANCHESTER TWP ELEMENTARY SCH                 9428
  MANCHESTER TWP HIGH SCHOOL                    9426
  MANCHESTER TWP MIDDLE SCHOOL                  9429
  REGIONAL DAY SCHOOL-JACKSON                   9188
  RIDGEWAY ELEMENTARY SCHOOL                    9430
  WHITING ELEMENTARY SCHOOL                     9478

MANNINGTON TWP SCHOOL DISTRICT                123273
  MANNINGTON ELEMENTARY SCHOOL                  8731

MANSFIELD TWP SCHOOL DISTRICT                 123183
  JOHN HYDOCK ELEMENTARY SCHOOL                 8479
  MANSFIELD TOWNSHIP ELEM SCHOOL                8193

MANTUA TWP SCHOOL DISTRICT                    123279
  CENTRE CITY ELEMENTARY SCHOOL                 8582
  J MASON TOMLIN ELEM SCHOOL                    8581
  SEWELL ELEMENTARY SCHOOL                      8734

MANVILLE PUBLIC SCHOOL DIST                   123534
  ALEXANDER BATCHO INTER SCHOOL                 9594
  MANVILLE HIGH SCHOOL                          9597
  WESTON ELEMENTARY SCHOOL                      9598

MAPLE SHADE TOWNSHIP SCH DIST                 123220
  HOWARD YOCUM ELEMENTARY SCHOOL                8583
  MAPLE SHADE HIGH SCHOOL                       8584
  MAUDE WILKINS ELEM SCHOOL                     8585
  STEINHAUER ELEM SCHOOL                        8586

MARGATE CITY PUBLIC SCH DIST                  123421
  EUGENE A TIGHE MIDDLE SCHOOL                  9139
  UNION AVENUE ELEMENTARY SCHOOL                9137

MARLBORO TWP SCHOOL DISTRICT                  123017
  ASHER HOLMES ELEMENTARY SCHOOL                8068
  CENTRAL ELEMENTARY SCHOOL                     8042
  FRANK DUGAN ELEMENTARY SCHOOL                 8046
  MARLBORO ELEMENTARY SCHOOL                    8044
  MARLBORO MIDDLE SCHOOL                        8043
  ROBERTSVILLE ELEMENTARY SCHOOL                8069

MATAWAN-ABERDEEN REG SCH DIST                 123019
  CLIFFWOOD ELEMENTARY SCHOOL                   7924
  LLOYD ROAD ELEMENTARY SCHOOL                  8049
  MATAWAN AVENUE MIDDLE SCHOOL                  7923
  MATAWAN REGIONAL HIGH SCHOOL                  8050
  RAVINE DRIVE ELEMENTARY SCHOOL                8051
  STRATHMORE ELEMENTARY SCHOOL                  8048

MAURICE RIVER TWP SCHOOL DIST                 123412
  MAURICE RIVER TWP ELEM SCHOOL                 9092

MAYWOOD SCHOOL DISTRICT                       122895
  MAYWOOD AVE ELEMENTARY SCHOOL                 7694
  MEMORIAL ELEMENTARY SCHOOL                    7693

MEDFORD LAKES SCHOOL DISTRICT                 123225
  NEETA ELEMENTARY SCHOOL                       8612
  NOKOMIS ELEMENTARY SCHOOL                     8613

MEDFORD TOWNSHIP BOARD OF EDUCATION           123224
  CRANBERRY PINE ELEM SCHOOL                    8618
  MAURICE & EVERETT HAINES SCH                  8616
  MEDFORD TWP MEMORIAL MID SCH                  8620
  MILTON H ALLEN ELEM SCHOOL                    8614
  TAUNTON FORGE ELEM SCHOOL                     8619

MENDHAM BOROUGH SCHOOL DIST                   123139
  HILLTOP ELEMENTARY SCHOOL                     8326
  MOUNTAIN VIEW ELEM SCHOOL                     8328
  REGIONAL DAY SCHOOL AT MORRIS                 8339

MENDHAM TOWNSHIP SCHOOL DIST                  123123
  MENDHAM TOWNSHIP ELEM SCHOOL                  8285
  MENDHAM TWP MIDDLE SCHOOL                     8286

MERCER CO SPEC SVC SCH DIST                   123467
  ALFRED REED SCHOOL                            9334
  JOSEPH F CAPPELLO SCHOOL                      9361
  MERCER JR-SR HIGH SCHOOL                      9362
  REGIONAL DAY SCHOOL-HAMILTON                  9363

MERCER CO VOCATIONAL SCH DIST                 123466
  M C V S EVENING SCHOOL                        9360
  M C V S SYPEK CENTER VOC SCH                  9331
  M C V SCH OF PERFORMING ARTS                  9358

MERCHANTVILLE SCHOOL DISTRICT                 123333
  MERCHANTVILLE ELEM SCHOOL                     8899

METUCHEN SCHOOL DISTRICT                      123538
  CAMPBELL ELEMENTARY SCHOOL                    9610
  EDGAR ELEMENTARY SCHOOL                       9605
  METUCHEN HIGH SCHOOL                          9609
  MOSS ELEMENTARY SCHOOL                        9606

MIDDLE TOWNSHIP  SCHOOL DIST                  123351
  MIDDLE TOWNSHIP ELEM SCHOOL 1                 8945
  MIDDLE TOWNSHIP ELEM SCHOOL 2                 8929
  MIDDLE TOWNSHIP HIGH SCHOOL                   8940
  MIDDLE TOWNSHIP MIDDLE SCH 4                  8946

MIDDLESEX BOROUGH PUB SCHOOLS                 123539
  HAZELWOOD ELEMENTARY SCHOOL                   9616
  MIDDLESEX HIGH SCHOOL                         9613
  PARKER ELEMENTARY SCHOOL                      9617
  VON E MAUGER MIDDLE SCHOOL                    9614
  WATCHUNG ELEMENTARY SCHOOL                    9615

MIDDLESEX CO ED SERVICES COMM                 123552
  FELLOWSHIP FARM SCHOOL                        9676
  RARITAN VALLEY ACADEMY SCHOOL                 9653
  REGIONAL DAY SCHOOL-PISCATAWAY                9654

MIDDLESEX CO VOC-TECH SCH DIST                123511
  MIDDLESEX CO VOC-E BRUNSWICK                  9528
  MIDDLESEX CO VOC-NEW BRUNSWICK                9783
  MIDDLESEX CO VOC-PISCATAWAY                   9652
  MIDDLESEX CO VOC-WOODBRIDGE                   7065
  MIDDLESEX COUNTY VOC - PERTH AMBOY            9685

MIDDLETOWN TWP SCHOOL DISTRICT                123022
  BAYSHORE MIDDLE SCHOOL                        8017
  BAYVIEW ELEMENTARY SCHOOL                     7908
  FAIRVIEW ELEMENTARY SCHOOL                    7882
  HARMONY ELEMENTARY SCHOOL                     8057
  LEONARDO ELEMENTARY SCHOOL                    8018
  LINCROFT ELEMENTARY SCHOOL                    8023
  MIDDLETON HIGH SCHOOL NORTH                   8063
  MIDDLETON HIGH SCHOOL SOUTH                   8065
  MIDDLETOWN VILLAGE ELEM SCHOOL                8058
  NAVESINK ELEMENTARY SCHOOL                    7906
  NEW MONMOUTH ELEMENTARY SCHOOL                8060
  NUT SWAMP ELEMENTARY SCHOOL                   8055
  OCEAN AVENUE ELEMENTARY SCHOOL                8056
  PORT MONMOUTH SCHOOL                          8096
  RIVER PLAZA ELEMENTARY SCHOOL                 7881
  THOMPSON MIDDLE SCHOOL                        8066
  THORNE MIDDLE SCHOOL                          8095

MIDLAND PARK PUBLIC SCHOOLS                   122830
  HIGHLAND AVE ELEMENTARY SCHOOL                7467
  MIDLAND PARK HIGH SCHOOL                      7463

MILFORD SCHOOL DISTRICT                       123542
  MILFORD PUBLIC ELEM SCHOOL                    9619

MILLBURN TWP SCHOOL DISTRICT                  122700
  DEERFIELD ELEMENTARY SCHOOL                   6959
  GLENWOOD ELEMENTARY SCHOOL                    6962
  HARTSHORN ELEMENTARY SCHOOL                   6961
  MILLBURN HIGH SCHOOL                          6709
  MILLBURN MIDDLE SCHOOL                        6710
  WYOMING ELEMENTARY SCHOOL                     6711

MILLSTONE TWP SCHOOL DISTRICT                 123426
  MILLSTONE TOWNSHIP ELEM SCHOOL                9158

MILLTOWN SCHOOL DISTRICT                      123546
  JOYCE KILMER ELEMENTARY SCHOOL                9623
  PARKVIEW ELEMENTARY SCHOOL                    9624

MILLVILLE PUBLIC SCHOOLS                      123408
  BACON ELEMENTARY SCHOOL                       9077
  CHILD FAMILY CENTER ELEM SCH                  9075
  HOLLY HEIGHTS ELEM SCHOOL                     9079
  MEMORIAL SCHOOL                               9073
  MILLVILLE SENIOR HIGH SCHOOL                  9072
  MOUNT PLEASANT ELEM SCHOOL                    9081
  RIECK AVE ELEMENTARY SCHOOL                   9078
  SILVER RUN ELEMENTARY SCHOOL                  9080
  WOOD ELEMENTARY SCHOOL                        9076

MINE HILL TOWNSHIP SCHOOL DIST                123041
  CANFIELD AVE ELEMENTARY SCHOOL                8121

MONMOUTH BEACH SCHOOL DISTRICT                123023
  MONMOUTH BEACH ELEM SCHOOL                    8067

MONMOUTH CO VOC SCHOOL DIST                   122983
  HIGH TECHNOLOGY HIGH SCHOOL                   8019
  KIVA HIGH SCHOOL                              7939
  MARINE ACADEMY SCI & TECH CTR                 7995
  MONMOUTH CO VOC SCH-FREEHOLD                  7956

MONMOUTH REG HIGH SCHOOL DIST                 122987
  MONMOUTH REG HIGH SCHOOL                      7937

MONROE TOWNSHIP SCHOOL DIST                   123532
  APPLEGARTH MIDDLE SCHOOL                      9161
  BARCLAY BROOK ELEM SCHOOL                     9587
  BROOKSIDE ELEMENTARY SCHOOL                   9588
  MILL LAKE ELEMENTARY SCHOOL                   9774
  MONROE TOWNSHIP HIGH SCHOOL                   9586
  WOODLAND ELEMENTARY SCHOOL                    9770

MONROE TWP PUBLIC SCHOOLS                     123310
  HOLLY GLENN ELEMENTARY SCHOOL                 8797
  RADIX ELEMENTARY SCHOOL                       8802
  WHITEHALL ELEMENTARY SCHOOL                   8803
  WILLIAMSTOWN HIGH SCHOOL                      8801
  WILLIAMSTOWN MIDDLE SCHOOL                    8805

MONTAGUE SCHOOL DISTRICT                      123052
  MONTAGUE ELEMENTARY SCHOOL                    8131

MONTCLAIR SCHOOL DISTRICT                     122703
  BRADFORD ACADEMY                              6724
  EDGEMONT ELEMENTARY SCHOOL                    6714
  GLENFIELD MIDDLE SCHOOL                       6723
  HILLSIDE ELEMENTARY SCHOOL                    6713
  MONTCLAIR HIGH SCHOOL                         6716
  MOUNT HEBRON MIDDLE SCHOOL                    6726
  NISHUANE ELEMENTARY SCHOOL                    6717
  NORTHEAST ELEMENTARY SCHOOL                   6731
  RAND FAMILY MAGNET SCHOOL                     6720
  WATCHUNG ELEMENTARY SCHOOL                    6722

MONTGOMERY TOWNSHIP SCH DIST                  123450
  MONTGOMERY HIGH SCHOOL                        9241
  MONTGOMERY MIDDLE SCHOOL                      9242
  ORCHARD HILL ELEMENTARY SCHOOL                9243

MONTVALE PUBLIC SCHOOL DIST                   122925
  FIELDSTONE MIDDLE SCHOOL                      7768
  MEMORIAL ELEMENTARY SCHOOL                    7771

MONTVILLE TWP SCHOOL DISTRICT                 122706
  CEDAR HILL ELEMENTARY SCHOOL                  6989
  HILLDALE ELEMENTARY SCHOOL                    6837
  MONTVILLE TWP HIGH SCHOOL                     6744
  ROBERT LAZAR MIDDLE SCHOOL                    6742
  VALLEY VIEW ELEMENTARY SCHOOL                 6741
  WILLIAM MASON ELEM SCHOOL                     6745
  WOODMONT ELEMENTARY SCHOOL                    6838

MOONACHIE SCHOOL DISTRICT                     122745
  ROBERT L CRAIG ELEMENTARY SCH                 6938

MOORESTOWN TWP PUBLIC SCHOOLS                 123227
  ALLEN MIDDLE SCHOOL                           8627
  GEORGE C BAKER ELEM SCHOOL                    8626
  MARY ROBERTS ELEMENTARY SCHOOL                8628
  MOORESTOWN HIGH SCHOOL                        8625
  SOUTH VALLEY ELEM SCHOOL                      8630

MORRIS CO ED SERVICES COMM                    123145
  MORRIS CO SPEC ED SCHOOL                      8233

MORRIS CO VOC-TECH SCHOOL DIST                123060
  MORRIS CO SCHOOL OF TECHNOLOGY                8143

MORRIS HILLS REGIONAL SCH DIST                123092
  MORRIS HILLS HIGH SCHOOL                      8199
  MORRIS KNOLLS HIGH SCHOOL                     8201

MORRIS PLAINS SCHOOL DISTRICT                 123141
  BOROUGH SCHOOL                                8333
  MOUNTAIN WAY SCHOOL                           8332

MORRIS SCHOOL DISTRICT                        123143
  ALFRED VAIL ELEMENTARY SCHOOL                 8334
  FRELINGHUYSEN MIDDLE SCHOOL                   8340
  HAMILTON ELEMENTARY SCHOOL                    8345
  HILLCREST ELEMENTARY SCHOOL                   8348
  LAFAYETTE LEARNING CENTER                     8343
  MORRISTOWN HIGH SCHOOL                        8346
  SUSSEX AVE ELEMENTARY SCHOOL                  8341
  THOMAS JEFFERSON ELEM SCHOOL                  8351
  WOODLAND ELEMENTARY SCHOOL                    8353

MOUNT ARLINGTON SCHOOL DIST                   123077
  EDITH M DECKER ELEM SCHOOL                    8176
  MOUNT ARLINGTON ELEM SCHOOL                   8177

MOUNT EPHRAIM BOROUGH SCH DIST                123230
  MARY BRAY ELEMENTARY SCHOOL                   8632
  RAYMOND W KERSHAW ELEM SCHOOL                 8634

MOUNT HOLLY TWP PUBLIC SCHOOLS                123233
  F W HOLBEIN MIDDLE SCHOOL                     8641
  GERTRUDE C FOWELL ELEM SCHOOL                 8639
  JOHN BRAINERD ELEMENTARY SCH                  8643

MOUNT LAUREL TWP SCHOOL DIST                  123222
  COUNTRYSIDE ELEMENTARY SCHOOL                 8605
  FLEETWOOD ELEMENTARY SCHOOL                   8606
  HILLSIDE ELEMENTARY SCHOOL                    8602
  LARCHMONT ELEMENTARY SCHOOL                   8608
  PARKWAY ELEMENTARY SCHOOL                     8607
  THOMAS E HARRINGTON MIDDLE SCH                8609

MOUNT OLIVE TWP SCHOOL DIST                   123053
  MOUNT OLIVE HIGH SCHOOL                       8148
  MOUNT OLIVE MIDDLE SCHOOL                     8133
  MOUNTAIN VIEW ELEM SCHOOL                     8146
  SANDSHORE SCHOOL                              8132
  TINC ROAD ELEMENTARY SCHOOL                   8147

MOUNTAIN LAKES SCHOOL DISTRICT                122709
  BRIARCLIFF MIDDLE SCHOOL                      6748
  LAKE DRIVE SCHOOL                             6750
  MOUNTAIN LAKES HIGH SCHOOL                    6747
  WILDWOOD ELEM SCHOOL                          6746

MOUNTAINSIDE SCHOOL DISTRICT                  122767
  DEERFIELD ELEMENTARY SCHOOL                   7043

MULLICA TOWNSHIP SCHOOL DIST                  123355
  MULLICA TWP PRIMARY SCHOOL                    8957

NATIONAL PARK SCHOOL DISTRICT                 123243
  NATIONAL PARK ELEM SCHOOL                     8655

NEPTUNE CITY SCHOOL DISTRICT                  123026
  WILSON ELEMENTARY SCHOOL                      8083

NEPTUNE TWP SCHOOL DISTRICT                   123025
  GABLES ELEMENTARY SCHOOL                      8078
  GREEN GROVE ELEMENTARY SCHOOL                 8075
  NEPTUNE HIGH SCHOOL                           8081
  NEPTUNE MIDDLE SCHOOL                         8079
  RIDGE AVENUE ELEMENTARY SCHOOL                8073
